categoria_2,data_iso,ticket_id,motivo,responsavel,status,status_2,inicio_dt,fim_dt,tempo_min
KYC/Reembolso,2026-01-01,930269,KYC/Reembolso,Lucas,Em espera,Aberto,2026-01-01 06:02:00,2026-01-01 06:06:00,4.0
Campanhas/CRM,2026-01-02,937163,Bloqueio/Fraude/Kyc,Lucas,Aberto,Pendente,2026-01-02 21:23:00,2026-01-02 22:17:00,54.0
Missão,2026-01-02,937180,Bloqueio/Fraude/Kyc,Lucas,Aberto,,2026-01-02 22:19:00,2026-01-02 22:22:00,3.0
Erro Plataforma,2026-01-02,937412,Bloqueio/Fraude/Kyc,Lucas,Aberto,Resolvido,2026-01-02 22:46:00,2026-01-02 22:48:00,2.0
Giros,2026-01-02,937331,"Financeiro (Depósito, saque e Devolução)",Lucas,Aberto,Em espera,2026-01-02 22:51:00,2026-01-02 22:54:00,3.0
PVE,2026-01-03,937674,Giros,Bárbara,Em espera,,2026-01-03 01:42:00,2026-01-03 01:43:00,1.0
Erro KYC,2026-01-03,937685,Giros,Bárbara,Em espera,,2026-01-03 01:52:00,2026-01-03 01:53:00,1.0
Auto Exclusão,2026-01-03,937770,Giros,Bárbara,Em espera,,2026-01-03 02:00:00,2026-01-03 02:01:00,1.0
,2026-01-03,937787,Indique e ganhe,Bárbara,Aberto,,2026-01-03 02:14:00,2026-01-03 02:23:00,9.0
,2026-01-03,938252,Bloqueio/Fraude/Kyc,Bárbara,Aberto,,2026-01-03 02:32:00,2026-01-03 02:41:00,9.0
,2026-01-03,937958,Bloqueio/Fraude,Bárbara,Aberto,,2026-01-03 02:50:00,2026-01-03 02:52:00,2.0
,2026-01-03,937696,KYC/Reembolso,Bárbara,Aberto,,2026-01-03 02:48:00,2026-01-03 02:54:00,6.0
Cashback,2026-01-03,938342,"Financeiro (Depósito, saque e Devolução)",Bárbara,Aberto,,2026-01-03 03:07:00,2026-01-03 03:10:00,3.0
Cassino,2026-01-03,938403,Cassino,Bárbara,Aberto,,2026-01-03 04:42:00,2026-01-03 04:47:00,5.0
"Financeiro (Depósito, saque e Devolução)",2026-01-03,938548,Giros,Bárbara,Em espera,,2026-01-03 05:25:00,2026-01-03 05:26:00,1.0
Reembolso,2026-01-03,938556,Bloqueio/Fraude/Kyc,Bárbara,Aberto,,2026-01-03 05:28:00,2026-01-03 05:32:00,4.0
Bloqueio/Ludopatia,2026-01-03,938552,Giros,Bárbara,Em espera,,2026-01-03 05:37:00,2026-01-03 05:38:00,1.0
Bloqueio/Fraude,2026-01-03,929178,Giros,Bárbara,Aberto,,2026-01-03 05:40:00,2026-01-03 05:42:00,2.0
Aposta esportiva,2026-01-03,938614,Giros,Bárbara,Aberto,,2026-01-03 06:17:00,2026-01-03 06:19:00,2.0
Bloqueio/Fraude/Kyc,2026-01-03,938613,Campanhas/CRM,Bárbara,Aberto,,2026-01-03 06:20:00,2026-01-03 06:36:00,16.0
Troca de E-mail,2026-01-03,938654,Giros,Bárbara,Em espera,,,,
,2026-01-04,943603,Aposta esportiva,Bárbara,Aberto,,2026-01-04 20:07:00,2026-01-04 20:10:00,3.0
,2026-01-04,943767,Troca de E-mail,Bárbara,Aberto,,2026-01-04 20:12:00,2026-01-04 20:17:00,5.0
,2026-01-04,944004,"Financeiro (Depósito, saque e Devolução)",Bárbara,Aberto,,2026-01-04 21:36:00,2026-01-04 21:50:00,14.0
,2026-01-04,944017,"Financeiro (Depósito, saque e Devolução)",Bárbara,Aberto,,2026-01-04 22:38:00,2026-01-04 22:40:00,2.0
,2026-01-05,944295,Troca de E-mail,Bárbara,Aberto,,2026-01-05 00:19:00,2026-01-05 00:27:00,8.0
,2026-01-05,944256,"Financeiro (Depósito, saque e Devolução)",Bárbara,Aberto,,2026-01-05 00:54:00,2026-01-05 01:00:00,6.0
,2026-01-05,944120,Giros,Lucas,Aberto,,2026-01-05 01:10:00,,
,2026-01-05,944171,Cashback,Lucas,Aberto,,2026-01-05 01:24:00,2026-01-05 01:30:00,6.0
,2026-01-05,944336,Cashback,Lucas,Aberto,,2026-01-05 02:02:00,2026-01-05 02:04:00,2.0
,2026-01-05,944387,KYC/Reembolso,Lucas,Aberto,,2026-01-05 02:06:00,2026-01-05 02:11:00,5.0
,2026-01-05,944471,KYC/Reembolso,Lucas,Aberto,,2026-01-05 02:12:00,2026-01-05 02:16:00,4.0
,2026-01-05,944669,KYC/Reembolso,Lucas,Aberto,,2026-01-05 02:48:00,2026-01-05 03:03:00,15.0
,2026-01-05,944268,Missão,Lucas,Aberto,,2026-01-05 03:08:00,,
,2026-01-05,944603,Missão,Lucas,Aberto,,2026-01-05 04:07:00,2026-01-05 04:09:00,2.0
,2026-01-05,944746,Campanhas/CRM,Lucas,Aberto,,2026-01-05 05:07:00,2026-01-05 05:15:00,8.0
,2026-01-05,944761,Campanhas/CRM,Lucas,Aberto,,2026-01-05 06:05:00,2026-01-05 06:07:00,2.0
,2026-01-05,944762,Campanhas/CRM,Lucas,Aberto,,2026-01-05 06:10:00,,
,2026-01-05,944770,KYC/Reembolso,Lucas,Aberto,,2026-01-05 06:12:00,,
,2026-01-06,950070,KYC/Reembolso,Lucas,Aberto,,2026-01-06 19:41:00,2026-01-06 19:48:00,7.0
,2026-01-06,950085,Indique e ganhe,Lucas,Aberto,,2026-01-06 19:54:00,2026-01-06 19:56:00,2.0
,2026-01-06,950173,Giros,Lucas,Aberto,,2026-01-06 20:47:00,2026-01-06 20:53:00,6.0
,2026-01-06,950289,Bloqueio/Fraude,Lucas,Aberto,,2026-01-06 21:25:00,2026-01-06 21:26:00,1.0
,2026-01-06,950526,KYC/Reembolso,Lucas,Aberto,,2026-01-06 21:01:00,2026-01-06 21:31:00,30.0
,2026-01-06,950387,KYC/Reembolso,Lucas,Aberto,,2026-01-06 21:32:00,2026-01-06 21:54:00,22.0
,2026-01-06,950533,KYC/Reembolso,Lucas,Aberto,,2026-01-06 21:40:00,2026-01-06 21:45:00,5.0
,2026-01-06,950747,KYC/Reembolso,Lucas,Aberto,,2026-01-06 22:01:00,2026-01-06 22:09:00,8.0
,2026-01-06,950707,KYC/Reembolso,Lucas,Aberto,,2026-01-06 22:11:00,2026-01-06 22:21:00,10.0
,2026-01-06,950653,KYC/Reembolso,Lucas,Aberto,,2026-01-06 22:28:00,2026-01-06 22:35:00,7.0
,2026-01-06,949995,Giros,Lucas,Aberto,,2026-01-06 22:38:00,2026-01-06 22:52:00,14.0
,2026-01-07,951101,Giros,Bárbara,Aberto,,2026-01-07 02:03:00,2026-01-07 02:32:00,29.0
,2026-01-07,951203,KYC/Reembolso,Bárbara,Aberto,,2026-01-07 02:35:00,2026-01-07 02:39:00,4.0
,2026-01-07,951122,KYC/Reembolso,Bárbara,Aberto,,2026-01-07 02:42:00,2026-01-07 02:46:00,4.0
,2026-01-07,951267,Giros,Bárbara,Aberto,,2026-01-07 02:53:00,2026-01-07 03:01:00,8.0
,2026-01-07,951275,Giros,Bárbara,Aberto,,2026-01-07 03:02:00,2026-01-07 03:04:00,2.0
,2026-01-07,952012,KYC/Reembolso,Bárbara,Aberto,,2026-01-07 03:06:00,2026-01-07 03:10:00,4.0
,2026-01-07,951677,KYC/Reembolso,Lucas,Aberto,,2026-01-07 03:07:00,2026-01-07 03:08:00,1.0
,2026-01-07,950447,Cassino,Lucas,Aberto,,2026-01-07 03:14:00,2026-01-07 03:17:00,3.0
,2026-01-07,951968,KYC/Reembolso,Bárbara,Em espera,,2026-01-07 03:15:00,2026-01-07 03:16:00,1.0
,2026-01-07,952194,Giros,Lucas,Aberto,,2026-01-07 04:34:00,2026-01-07 04:36:00,2.0
,2026-01-07,952160,Giros,Bárbara,Aberto,,2026-01-07 05:52:00,2026-01-07 06:02:00,10.0
,2026-01-07,952242,Aposta esportiva,Bárbara,Aberto,,2026-01-07 06:52:00,2026-01-07 06:54:00,2.0
,2026-01-07,952292,Giros,Bárbara,Aberto,,2026-01-07 06:23:00,2026-01-07 06:26:00,3.0
,2026-01-08,961993,KYC/Reembolso,Bárbara,Aberto,,2026-01-08 19:38:00,2026-01-08 19:44:00,6.0
,2026-01-09,963654,"Financeiro (Depósito, saque e Devolução)",Lucas,Aberto,,2026-01-09 02:26:00,2026-01-09 03:11:00,45.0
,2026-01-09,963626,Bloqueio/Fraude,Bárbara,Em espera,,2026-01-09 02:45:00,2026-01-09 02:46:00,1.0
,2026-01-09,963500,Bloqueio/Fraude,Bárbara,Em espera,,2026-01-09 02:46:00,2026-01-09 02:47:00,1.0
,2026-01-09,962630,KYC/Reembolso,Bárbara,Aberto,,2026-01-09 02:25:00,2026-01-09 02:49:00,24.0
,2026-01-09,962678,KYC/Reembolso,Bárbara,Aberto,,2026-01-09 03:09:00,2026-01-09 03:11:00,2.0
,2026-01-09,962578,KYC/Reembolso,Lucas,Aberto,,2026-01-09 03:07:00,2026-01-09 03:22:00,15.0
,2026-01-09,962483,KYC/Reembolso,Lucas,Aberto,,2026-01-09 03:12:00,2026-01-09 03:15:00,3.0
,2026-01-09,964251,Indique e ganhe,Lucas,Aberto,,2026-01-09 03:24:00,2026-01-09 03:51:00,27.0
,2026-01-09,962392,KYC/Reembolso,Lucas,Aberto,,2026-01-09 03:36:00,2026-01-09 03:45:00,9.0
,2026-01-09,965175,PVE,Lucas,Aberto,,2026-01-09 04:13:00,2026-01-09 05:50:00,97.0
,2026-01-09,961845,Cashback,Lucas,Em espera,,2026-01-09 03:57:00,2026-01-09 04:07:00,10.0
,2026-01-09,961814,Cashback,Lucas,Em espera,,2026-01-09 04:22:00,2026-01-09 04:26:00,4.0
,2026-01-09,961327,Erro Plataforma,Lucas,Aberto,,2026-01-09 04:29:00,2026-01-09 04:39:00,10.0
,2026-01-09,961269,Cashback,Lucas,Em espera,,2026-01-09 04:42:00,2026-01-09 04:44:00,2.0
,2026-01-09,961248,Cashback,Lucas,Aberto,,2026-01-09 04:45:00,2026-01-09 05:26:00,41.0
,2026-01-09,961150,Troca de E-mail,Lucas,Aberto,,2026-01-09 05:27:00,2026-01-09 05:38:00,11.0
,2026-01-09,965188,Bloqueio/Fraude,Bárbara,Aberto,,2026-01-09 05:44:00,2026-01-09 05:50:00,6.0
,2026-01-09,963765,PVE,Lucas,Aberto,,2026-01-09 05:52:00,2026-01-09 05:53:00,1.0
,2026-01-10,976466,KYC/Reembolso,Lucas,Aberto,,2026-01-10 19:44:00,2026-01-10 19:49:00,5.0
,2026-01-10,976146,Cashback,Lucas,Em espera,,2026-01-10 19:50:00,2026-01-10 19:55:00,5.0
,2026-01-10,976799,Bloqueio/Fraude/Kyc,Lucas,Aberto,,2026-01-10 20:01:00,2026-01-10 20:04:00,3.0
,2026-01-10,976316,KYC/Reembolso,Lucas,Aberto,,2026-01-10 20:22:00,2026-01-10 20:25:00,3.0
,2026-01-10,974960,PVE,Lucas,Aberto,,2026-01-10 21:16:00,2026-01-10 21:20:00,4.0
,2026-01-10,976942,Cashback,Lucas,Em espera,,2026-01-10 21:42:00,2026-01-10 21:46:00,4.0
,2026-01-10,977033,Cashback,Lucas,Aberto,,2026-01-10 21:59:00,2026-01-10 22:03:00,4.0
,2026-01-10,977286,"Financeiro (Depósito, saque e Devolução)",Lucas,Aberto,,2026-01-10 22:06:00,2026-01-10 22:14:00,8.0
,2026-01-10,976888,Cashback,Lucas,Em espera,,2026-01-10 22:16:00,2026-01-10 22:17:00,1.0
,2026-01-10,977309,Cashback,Lucas,Em espera,,2026-01-10 23:17:00,2026-01-10 23:22:00,5.0
,2026-01-11,977497,KYC/Reembolso,Lucas,Aberto,,2026-01-11 00:01:00,2026-01-11 00:04:00,3.0
,2026-01-11,978511,KYC/Reembolso,Bárbara,Aberto,,2026-01-11 03:04:00,2026-01-11 03:14:00,10.0
,2026-01-11,978215,Campanhas/CRM,Bárbara,Aberto,,2026-01-11 03:53:00,2026-01-11 03:55:00,2.0
,2026-01-11,978801,KYC/Reembolso,Bárbara,Aberto,,2026-01-11 05:37:00,2026-01-11 05:39:00,2.0
,2026-01-11,978823,"Financeiro (Depósito, saque e Devolução)",Bárbara,Aberto,,2026-01-11 05:55:00,2026-01-11 06:14:00,19.0
,2026-01-11,978839,Campanhas/CRM,Bárbara,Aberto,,2026-01-11 06:45:00,2026-01-11 06:55:00,10.0
,2026-01-12,968008,Campanhas/CRM,Bárbara,Em espera,,2026-01-12 19:27:00,2026-01-12 19:28:00,1.0
,2026-01-12,969481,Campanhas/CRM,Bárbara,Em espera,,2026-01-12 19:43:00,2026-01-12 19:44:00,1.0
,2026-01-12,983829,Campanhas/CRM,Bárbara,Aberto,,2026-01-12 19:56:00,2026-01-12 19:58:00,2.0
,2026-01-12,984529,Campanhas/CRM,Bárbara,Aberto,,2026-01-12 20:07:00,2026-01-12 20:12:00,5.0
,2026-01-12,984965,Campanhas/CRM,Bárbara,Aberto,,2026-01-12 20:40:00,2026-01-12 20:42:00,2.0
,2026-01-12,986681,"Financeiro (Depósito, saque e Devolução)",Bárbara,Aberto,,2026-01-12 20:52:00,2026-01-12 20:55:00,3.0
,2026-01-12,986504,Troca de E-mail,Bárbara,Aberto,,2026-01-12 20:55:00,2026-01-12 20:59:00,4.0
,2026-01-12,986482,KYC/Reembolso,Bárbara,Aberto,,2026-01-12 21:11:00,2026-01-12 21:14:00,3.0
,2026-01-12,986247,Bloqueio/Fraude/Kyc,Bárbara,Em espera,,2026-01-12 21:28:00,2026-01-12 21:29:00,1.0
,2026-01-12,986239,Bloqueio/Fraude/Kyc,Bárbara,Em espera,,2026-01-12 21:37:00,2026-01-12 21:38:00,1.0
,2026-01-12,985502,KYC/Reembolso,Bárbara,Aberto,,2026-01-12 21:43:00,2026-01-12 21:48:00,5.0
,2026-01-12,970324,"Financeiro (Depósito, saque e Devolução)",Bárbara,Aberto,,2026-01-12 21:55:00,2026-01-12 21:58:00,3.0
,2026-01-12,968277,Aposta esportiva,Bárbara,Aberto,,2026-01-12 22:03:00,2026-01-12 22:08:00,5.0
,2026-01-12,985631,Giros,Bárbara,Aberto,,2026-01-12 22:11:00,2026-01-12 22:13:00,2.0
,2026-01-12,958830,,,,,,,
,2026-01-12,986977,Giros,Bárbara,Aberto,,2026-01-12 22:36:00,2026-01-12 22:41:00,5.0
,2026-01-13,986656,Cashback,Lucas,Em espera,,2026-01-13 01:21:00,2026-01-13 01:23:00,2.0
,2026-01-13,987260,Troca de E-mail,Lucas,Aberto,,2026-01-13 01:24:00,2026-01-13 01:26:00,2.0
,2026-01-13,987350,Cashback,Lucas,Aberto,,2026-01-13 01:30:00,2026-01-13 01:31:00,1.0
,2026-01-13,987447,Giros,Lucas,Aberto,,2026-01-13 01:31:00,2026-01-13 01:33:00,2.0
,2026-01-13,987971,Bloqueio/Fraude,Lucas,Aberto,,2026-01-13 02:32:00,2026-01-13 02:35:00,3.0
,2026-01-13,987862,KYC/Reembolso,Lucas,Aberto,,2026-01-13 03:59:00,2026-01-13 04:01:00,2.0
,2026-01-13,988087,Cashback,Lucas,Aberto,,2026-01-13 04:32:00,2026-01-13 04:36:00,4.0
,2026-01-13,988180,KYC/Reembolso,Lucas,Aberto,,2026-01-13 05:22:00,2026-01-13 05:24:00,2.0
,2026-01-13,988083,Cashback,Lucas,Aberto,,2026-01-13 05:29:00,2026-01-13 05:34:00,5.0
,2026-01-13,988178,Indique e ganhe,Lucas,Aberto,,2026-01-13 05:39:00,2026-01-13 05:49:00,10.0
,2026-01-13,988221,Cashback,Lucas,Em espera,,2026-01-13 06:24:00,2026-01-13 06:47:00,23.0
,2026-01-14,995767,KYC/Reembolso,Lucas,Em espera,,2026-01-14 19:43:00,2026-01-14 19:44:00,1.0
,2026-01-14,995435,Bloqueio/Fraude,Lucas,Aberto,,2026-01-14 19:47:00,2026-01-14 19:49:00,2.0
,2026-01-14,995918,KYC/Reembolso,Lucas,Aberto,,2026-01-14 20:14:00,2026-01-14 20:15:00,1.0
,2026-01-14,995667,KYC/Reembolso,Lucas,Em espera,,2026-01-14 20:35:00,2026-01-14 20:36:00,1.0
,2026-01-14,995411,KYC/Reembolso,Lucas,Em espera,,2026-01-14 20:51:00,2026-01-14 20:52:00,1.0
,2026-01-14,996120,KYC/Reembolso,Lucas,Em espera,,2026-01-14 20:53:00,2026-01-14 20:56:00,3.0
,2026-01-14,996118,KYC/Reembolso,Lucas,Em espera,,2026-01-14 20:57:00,2026-01-14 20:59:00,2.0
,2026-01-14,995997,KYC/Reembolso,Lucas,Em espera,,2026-01-14 21:03:00,2026-01-14 21:06:00,3.0
,2026-01-14,995397,KYC/Reembolso,Lucas,Em espera,,2026-01-14 21:11:00,2026-01-14 21:12:00,1.0
,2026-01-14,995361,Troca de E-mail,Lucas,Aberto,,2026-01-14 21:16:00,2026-01-14 21:18:00,2.0
,2026-01-14,994870,KYC/Reembolso,Lucas,Em espera,,2026-01-14 21:23:00,2026-01-14 21:25:00,2.0
,2026-01-14,994777,KYC/Reembolso,Lucas,Em espera,,2026-01-14 21:28:00,2026-01-14 21:32:00,4.0
,2026-01-14,994681,KYC/Reembolso,Lucas,Em espera,,2026-01-14 21:49:00,2026-01-14 21:51:00,2.0
,2026-01-14,993894,KYC/Reembolso,Lucas,Em espera,,2026-01-14 21:59:00,2026-01-14 22:00:00,1.0
,2026-01-14,993842,Troca de E-mail,Lucas,Aberto,,2026-01-14 22:06:00,2026-01-14 22:07:00,1.0
,2026-01-14,996363,Troca de E-mail,Lucas,Em espera,,2026-01-14 22:27:00,2026-01-14 22:31:00,4.0
,2026-01-14,995810,Bloqueio/Fraude/Kyc,Lucas,Aberto,,2026-01-14 22:34:00,2026-01-14 22:35:00,1.0
,2026-01-14,995567,Campanhas/CRM,Lucas,Aberto,,2026-01-14 22:40:00,2026-01-14 22:47:00,7.0
,2026-01-14,994348,KYC/Reembolso,Lucas,Em espera,,2026-01-14 22:51:00,2026-01-14 22:56:00,5.0
,2026-01-14,996364,Giros,Lucas,Aberto,,2026-01-14 23:20:00,2026-01-14 23:32:00,12.0
,2026-01-14,996618,KYC/Reembolso,Lucas,Aberto,,2026-01-14 23:33:00,2026-01-14 23:40:00,7.0
,2026-01-14,996747,KYC/Reembolso,Lucas,Aberto,,2026-01-14 23:56:00,2026-01-15 00:01:00,5.0
,2026-01-14,995583,Cashback,Lucas,Aberto,,2026-01-14 01:28:00,2026-01-14 02:06:00,38.0
,2026-01-14,996761,Cashback,Lucas,Aberto,,2026-01-14 02:17:00,2026-01-14 02:18:00,1.0
,2026-01-14,995042,Giros,Lucas,Aberto,,2026-01-14 02:27:00,2026-01-14 02:29:00,2.0
,2026-01-14,994840,Bloqueio/Fraude,Lucas,Aberto,,2026-01-14 02:31:00,2026-01-14 02:33:00,2.0
,2026-01-14,994817,KYC/Reembolso,Lucas,Em espera,,2026-01-14 03:06:00,2026-01-14 03:08:00,2.0
,2026-01-15,994444,Cashback,Lucas,Aberto,,2026-01-15 03:15:00,2026-01-15 03:19:00,4.0
,2026-01-15,997366,KYC/Reembolso,Lucas,Aberto,,2026-01-15 03:21:00,2026-01-15 03:24:00,3.0
,2026-01-15,994383,Bloqueio/Fraude,Lucas,Aberto,,2026-01-15 03:27:00,2026-01-15 03:32:00,5.0
,2026-01-15,994349,Cashback,Lucas,Aberto,,2026-01-15 03:43:00,2026-01-15 03:45:00,2.0
,2026-01-15,997323,KYC/Reembolso,Lucas,Aberto,,2026-01-15 03:55:00,2026-01-15 03:56:00,1.0
,2026-01-15,995410,Cashback,Lucas,Em espera,,2026-01-15 04:08:00,2026-01-15 04:09:00,1.0
,2026-01-15,990742,Cashback,Lucas,Em espera,,2026-01-15 04:25:00,2026-01-15 04:28:00,3.0
,2026-01-15,994046,Cashback,Lucas,Em espera,,2026-01-15 04:43:00,2026-01-15 04:44:00,1.0
,2026-01-15,994048,Cashback,Lucas,Em espera,,2026-01-15 04:48:00,2026-01-15 04:50:00,2.0
,2026-01-15,995286,Cashback,Lucas,Em espera,,2026-01-15 04:59:00,2026-01-15 05:00:00,1.0
,2026-01-15,995077,Cashback,Lucas,Em espera,,2026-01-15 05:05:00,2026-01-15 05:06:00,1.0
,2026-01-15,994896,Erro Plataforma,Lucas,Em espera,,2026-01-15 05:12:00,2026-01-15 06:27:00,75.0
,2026-01-15,994000,Cashback,Lucas,Em espera,,2026-01-15 05:29:00,2026-01-15 05:30:00,1.0
,2026-01-15,995211,"Financeiro (Depósito, saque e Devolução)",Lucas,Aberto,,2026-01-15 05:49:00,2026-01-15 05:52:00,3.0
,2026-01-15,852569,Cashback,Bárbara,Em espera,,2026-01-15 01:14:00,2026-01-15 01:15:00,1.0
